Route Number,Route Name,Boarding Points,Starting Time
R-26,Andarkuppam,"Andarkuppam, Kundrathur, Kundrathur Thandalam, Kovur, Gerugambakkam, Bai Kadai, Mathanandapuram Nagar, Porur, RIT Campus", 6:35 AM
R-27,Avadi,"Ajeya Stadium, HVF, CRP, Mitnamalli, Muthapudupet, Sasthri Nagar, Avadi Checkpost, Rama Rathna Theatre, Avadi mankoil, Vasantham Nagar, Kovarthanagiri, Kaduveti, RIT Campus",6:25 AM
R-27A,Kollumedu,"Kollumedu,Vel Tech College, Kovilpathagai, Ajeya Stadium, CRPF, Mitnamalli, Palavedu Service Road, Nemilicheri Tollgate, Chithukadu Blue, Panimalar Tollgate, Chembarambakkam, RIT Campus",6:30 AM
R-28,Agaram,"Agaram, Periyar Nagar, Thiruvalluvar Thirumanamandapam, Permal Koil, Kamban Nagar, EB, Shanmugam Mahal, Senthil Nagar, Thathankuppam, Kalyan Jewellers, Collector Nagar, Cheriyan Hospital, Golden Flats, RIT Campus",6:20 AM
R-29,Velachery,"Vijayanagar Bus stand, Kaiveli, Kamatchi Hospital, Pallavaram Singapore Shopping, Krishna nagar, via Kundrathur(non stop), RIT Campus",6:10 AM
R-29A,Pammal,"Pammal, Arunmathi theatre, Anagaputhur, Manikandan Nagar, Karima Nagar, Kundrathur(theradi), RIT Campus",6:35 AM
R-29B,Sivanthangal,"Sivanthangal, Muthukumaran College, Pattu Koot Road, Mangadu, Kankaiyamman Kovil, MGR Nagar, Kumananchavadi, Aravind Hospital, RIT Campus",7:05 AM
R-39,Uthiramerur,"Uthiramerur, Karuvappampoondi, Manalmedu, Vengacherry, Mangaral, Arpakkam, Kalakattur, Karuvimalai, Orikkai, Military Road, Gandhi Nagar, Keel Gate, Keeramandapam, RIT Campus",5:40 AM
R-41C,Vellore,"Vellore Rountana, Sathuvachari, Vallar, Pootuthakal, Arcot, Ranipet Bypass, Walaja Toll Booth, Baguwali Koot Road, Sriperumbudur bypass, RIT Campus",5:30 AM
R-42C,Sholingur,"Sholingur Bus stand, Karumaimman Koil, Salai, Gumpinipettai, Chinnakayanoor Bridge, Perumuchi, Thakkolam Koot Road, Kadamnallur, Thakkolam EB, Thakkolam Malebazar, Thakkolam Keelbazar, Marimangalam, Narasingapuram, Perumbakkam, Koovam, Kondacheri, Moppedu, Vooluthai, Thandalam Koot Road, RIT Campus",5:35 AM
R-44,Nemili-Panappakam,"Nemili Bus stand, Vetangulam, Reddyvalam, Panappakam, Aayarpadi, Ocheri, Baluchetti, Vellagate(Sakthiganapathy Hotel), Meenachi College(KPM), Rajakulam, Sathankulam, Pillaichatram, Sunguvar Chatram Bust stand, Mambakkam, Sriperumbudur Bust stand, RIT Campus",6:05 AM
